year,metric,season,temperature_c,in_common_window,baseline_period,missing_type
1746,mean,annual,8.66,FALSE,NA,observed
1747,mean,winter,4.77,FALSE,NA,observed
1747,mean,spring,7.59,FALSE,NA,observed
1747,mean,summer,16.65,FALSE,NA,observed
1747,mean,autumn,10.22,FALSE,NA,observed
1747,mean,annual,9.84,FALSE,NA,observed
1748,mean,winter,3.23,FALSE,NA,observed
1748,mean,spring,6.17,FALSE,NA,observed
1748,mean,summer,15.34,FALSE,NA,observed
1748,mean,autumn,10.16,FALSE,NA,observed
1748,mean,annual,8.79,FALSE,NA,observed
1749,mean,winter,5.01,FALSE,NA,observed
1749,mean,spring,8.15,FALSE,NA,observed
1749,mean,summer,14.93,FALSE,NA,observed
1749,mean,autumn,10.2,FALSE,NA,observed
1749,mean,annual,9.49,FALSE,NA,observed
1750,mean,winter,5.08,FALSE,NA,observed
1750,mean,spring,8.88,FALSE,NA,observed
1750,mean,summer,15.48,FALSE,NA,observed
1750,mean,autumn,9.46,FALSE,NA,observed
1750,mean,annual,9.71,FALSE,NA,observed
1751,mean,winter,3.29,FALSE,NA,observed
1751,mean,spring,7.54,FALSE,NA,observed
1751,mean,summer,14.93,FALSE,NA,observed
1751,mean,autumn,8.4,FALSE,NA,observed
1751,mean,annual,8.47,FALSE,NA,observed
1752,mean,winter,3.1,FALSE,NA,observed
1752,mean,spring,7.58,FALSE,NA,observed
1752,mean,summer,15.37,FALSE,NA,observed
1752,mean,autumn,10.34,FALSE,NA,observed
1752,mean,annual,9.21,FALSE,NA,observed
1753,mean,winter,3.32,FALSE,NA,observed
1753,mean,spring,8.54,FALSE,NA,observed
1753,mean,summer,15.17,FALSE,NA,observed
1753,mean,autumn,9.24,FALSE,NA,observed
1753,mean,annual,9.12,FALSE,NA,observed
1754,mean,winter,3.52,FALSE,NA,observed
1754,mean,spring,7.44,FALSE,NA,observed
1754,mean,summer,14.68,FALSE,NA,observed
1754,mean,autumn,10,FALSE,NA,observed
1754,mean,annual,8.87,FALSE,NA,observed
1755,mean,winter,2.37,FALSE,NA,observed
1755,mean,spring,7.74,FALSE,NA,observed
1755,mean,summer,15.09,FALSE,NA,observed
1755,mean,autumn,8.86,FALSE,NA,observed
1755,mean,annual,8.58,FALSE,NA,observed
1756,mean,winter,4.29,FALSE,NA,observed
1756,mean,spring,7.27,FALSE,NA,observed
1756,mean,summer,14.88,FALSE,NA,observed
1756,mean,autumn,8.97,FALSE,NA,observed
1756,mean,annual,8.78,FALSE,NA,observed
1757,mean,winter,2.35,FALSE,NA,observed
1757,mean,spring,7.9,FALSE,NA,observed
1757,mean,summer,15.89,FALSE,NA,observed
1757,mean,autumn,9.52,FALSE,NA,observed
1757,mean,annual,8.97,FALSE,NA,observed
1758,mean,winter,3.18,FALSE,NA,observed
1758,mean,spring,8.75,FALSE,NA,observed
1758,mean,summer,15.07,FALSE,NA,observed
1758,mean,autumn,8.56,FALSE,NA,observed
1758,mean,annual,8.98,FALSE,NA,observed
1759,mean,winter,5.18,FALSE,NA,observed
1759,mean,spring,8.94,FALSE,NA,observed
1759,mean,summer,16.52,FALSE,NA,observed
1759,mean,autumn,9.85,FALSE,NA,observed
1759,mean,annual,10.03,FALSE,NA,observed
1760,mean,winter,2.71,FALSE,NA,observed
1760,mean,spring,9.23,FALSE,NA,observed
1760,mean,summer,15.97,FALSE,NA,observed
1760,mean,autumn,10.19,FALSE,NA,observed
1760,mean,annual,9.85,FALSE,NA,observed
1761,mean,winter,5.77,FALSE,NA,observed
1761,mean,spring,9.37,FALSE,NA,observed
1761,mean,summer,15.51,FALSE,NA,observed
1761,mean,autumn,9.93,FALSE,NA,observed
1761,mean,annual,10.02,FALSE,NA,observed
1762,mean,winter,4.38,FALSE,NA,observed
1762,mean,spring,8.85,FALSE,NA,observed
1762,mean,summer,16.66,FALSE,NA,observed
1762,mean,autumn,8.69,FALSE,NA,observed
1762,mean,annual,9.61,FALSE,NA,observed
1763,mean,winter,2.49,FALSE,NA,observed
1763,mean,spring,8.16,FALSE,NA,observed
1763,mean,summer,15.07,FALSE,NA,observed
1763,mean,autumn,9.06,FALSE,NA,observed
1763,mean,annual,8.95,FALSE,NA,observed
1764,mean,winter,4.58,FALSE,NA,observed
1764,mean,spring,7.77,FALSE,NA,observed
1764,mean,summer,15.08,FALSE,NA,observed
1764,mean,autumn,8.6,FALSE,NA,observed
1764,mean,annual,8.73,FALSE,NA,observed
1765,mean,winter,2.74,FALSE,NA,observed
1765,mean,spring,7.97,FALSE,NA,observed
1765,mean,summer,14.95,FALSE,NA,observed
1765,mean,autumn,8.8,FALSE,NA,observed
1765,mean,annual,8.55,FALSE,NA,observed
1766,mean,winter,1.36,FALSE,NA,observed
1766,mean,spring,7.33,FALSE,NA,observed
1766,mean,summer,15.35,FALSE,NA,observed
1766,mean,autumn,9.93,FALSE,NA,observed
1766,mean,annual,8.66,FALSE,NA,observed
1767,mean,winter,2.85,FALSE,NA,observed
1767,mean,spring,7.33,FALSE,NA,observed
1767,mean,summer,14.45,FALSE,NA,observed
1767,mean,autumn,10.06,FALSE,NA,observed
1767,mean,annual,8.7,FALSE,NA,observed
1768,mean,winter,2.93,FALSE,NA,observed
1768,mean,spring,8.34,FALSE,NA,observed
1768,mean,summer,15.18,FALSE,NA,observed
1768,mean,autumn,8.84,FALSE,NA,observed
1768,mean,annual,8.95,FALSE,NA,observed
1769,mean,winter,3.29,FALSE,NA,observed
1769,mean,spring,8.04,FALSE,NA,observed
1769,mean,summer,14.85,FALSE,NA,observed
1769,mean,autumn,8.89,FALSE,NA,observed
1769,mean,annual,8.81,FALSE,NA,observed
1770,mean,winter,4.36,FALSE,NA,observed
1770,mean,spring,5.97,FALSE,NA,observed
1770,mean,summer,14.75,FALSE,NA,observed
1770,mean,autumn,9.36,FALSE,NA,observed
1770,mean,annual,8.53,FALSE,NA,observed
1771,mean,winter,2.58,FALSE,NA,observed
1771,mean,spring,6.95,FALSE,NA,observed
1771,mean,summer,14.77,FALSE,NA,observed
1771,mean,autumn,9.23,FALSE,NA,observed
1771,mean,annual,8.58,FALSE,NA,observed
1772,mean,winter,2.92,FALSE,NA,observed
1772,mean,spring,6.97,FALSE,NA,observed
1772,mean,summer,16.37,FALSE,NA,observed
1772,mean,autumn,10.65,FALSE,NA,observed
1772,mean,annual,9.17,FALSE,NA,observed
1773,mean,winter,3.82,FALSE,NA,observed
1773,mean,spring,8.37,FALSE,NA,observed
1773,mean,summer,15.95,FALSE,NA,observed
1773,mean,autumn,9.21,FALSE,NA,observed
